batch_id,file_name,start_pair_id,end_pair_id,item_count
review_batch_016,review_batch_016.txt,remaining70-condition-001__concise_clinical,remaining70-condition-005__semi_structured,10
review_batch_017,review_batch_017.txt,remaining70-condition-006__concise_clinical,remaining70-condition-010__semi_structured,10
review_batch_018,review_batch_018.txt,remaining70-observation-001__concise_clinical,remaining70-observation-004__concise_clinical,10
review_batch_019,review_batch_019.txt,remaining70-observation-004__semi_structured,remaining70-observation-007__semi_structured,10
review_batch_020,review_batch_020.txt,remaining70-observation-007__shorthand_note,remaining70-observation-010__shorthand_note,10
review_batch_021,review_batch_021.txt,remaining70-observation-011__concise_clinical,remaining70-observation-014__concise_clinical,10
review_batch_022,review_batch_022.txt,remaining70-observation-014__semi_structured,remaining70-observation-017__semi_structured,10
review_batch_023,review_batch_023.txt,remaining70-observation-017__shorthand_note,remaining70-observation-020__shorthand_note,10
review_batch_024,review_batch_024.txt,remaining70-observation-021__concise_clinical,remaining70-observation-024__concise_clinical,10
review_batch_025,review_batch_025.txt,remaining70-observation-024__semi_structured,remaining70-observation-027__semi_structured,10
review_batch_026,review_batch_026.txt,remaining70-observation-027__shorthand_note,remaining70-observation-030__shorthand_note,10
review_batch_027,review_batch_027.txt,remaining70-observation-031__concise_clinical,remaining70-observation-034__concise_clinical,10
review_batch_028,review_batch_028.txt,remaining70-observation-034__semi_structured,remaining70-observation-037__semi_structured,10
review_batch_029,review_batch_029.txt,remaining70-observation-037__shorthand_note,remaining70-observation-040__shorthand_note,10
review_batch_030,review_batch_030.txt,remaining70-observation-041__concise_clinical,remaining70-observation-044__concise_clinical,10
review_batch_031,review_batch_031.txt,remaining70-observation-044__semi_structured,remaining70-observation-047__semi_structured,10
review_batch_032,review_batch_032.txt,remaining70-observation-047__shorthand_note,remaining70-observation-050__shorthand_note,10
review_batch_033,review_batch_033.txt,remaining70-patient-001__concise_clinical,remaining70-patient-005__concise_clinical,10
review_batch_034,review_batch_034.txt,remaining70-patient-005__semi_structured,remaining70-patient-008__semi_structured,10
review_batch_035,review_batch_035.txt,remaining70-patient-008__shorthand_note,remaining70-patient-010__shorthand_note,7
